Rating,Review,category
2,Cheap product with high cost,toys
5,Very gripping and well thought out a taut plot-line ! Hats off to the writer . Pls write more such books !,books
1,not cool ,mobile
3,This toy is for 1+ year old babies... Overall the product is good ..,toys
1,I hate this book,books
1,careless staff,books
4,The toy is not good its too bad again the price is high.the toy has so much sharp edges n the smily cap is so loose.dont waste money on it,toys
1,Highly disappointed ????,mobile
3,"Really good device with great looks and screen. camera is quality is really bad, do not trust online reviews. Can't game on this.Buy for light use and older generation people.",mobile
4,For enhancing knowledge,toys
5,I just wrote how good the product...but then.. I wanted to use it again  first for 2 minutes it worked and then suddenly it stopped. First it looked like power cut. But there was no power cut..the product was dead.....2 times it worked... Then finished... after one hour I tried again  as I tried all the outlets... Nothing I could do could change the cooking device!!,home
5,Value for money good product in this price range,fashion
1,Poor Quality,fashion
4,"Itï¿½s not fast, itï¿½s good if you use it for social media and YouTube coz screen quality is really good. Average camera does not do justice to pics taken from this phone as shows incorrect colours.",mobile
4,Goood,toys
5,wow nice quality and product,fashion
2,problems with product quality,mobile
2,dull colour ,fashion
5,Ye koi bhi kaam nahi kar raha he.chalu hi nahi ho raha he.. please isko mujhe Cheng karna he abhi.our dusara lena he iske baddle me..ye wapis liya jaye???,home
4,This is a fun game with a little twist. But you can buy it at Walmart or drug mart for a lot cheaper.,toys
3,Ok,toys
5,just good,fashion
1,"Don't buy , This mobile has blinking issue.Poor sensitivity.",mobile
5,Good Quality,home
5,Nice,fashion
2,repair in the product without reach the guarantee measures,mobile
1,boring game,fashion
2,Worst product don't buy from this dealer. Buy genuine products from iplanet. Just now got it found defective.,mobile
1,"Don't buy this phone, it's bulshit. Waste of money, the camera quality is very low and battery is also less.",mobile
2,I hate this product,fashion
2,delivery charges is too high,fashion
1,Quality is not good,toys
5,Amazing,fashion
5,very problematic,fashion
5,The tastiest Indian malicious indelicacy cooked in humorous sauce in the last decade. Was licking my fingers and looking for more when I d devoured the last page !,books
5,Just opened the pack today and the induction is not working,home
4,Tongue in cheek   detective story! Funny and intriguing at same time! Very entertaining set in modern day India! Namaste!,books
5,I have been using it only to boil milk and water. It stopped using after 1.5 years. Tried to get it fixed by local vendor but again stopped working after couple of days. I would not recommend to buy it. There is no value of money  brands like prestige has also started making cheap products.,home
4,"Ratings:Camera 4/5Performance 5/5Display (viewing) 4.5/5Build quality 5/5Touch sensitivity 4.5/5, when using the screen protector",mobile
5,wow nice quality and product,fashion
3,Product is nice..but packing wasn t good.. look at the pic,toys
4,The media could not be loaded. ?ÿVery thin plastic and gets easily distorted with the pressure exerted by kids. Visisble in the uploaded video. Not worth the price paid.,toys
2,Very bad product,home
1,careless staff,books
4,Not thick enough. Poor quality. Poor manufacturing.,toys
2,unfair with  color of the product,fashion
1,Quality is poor,toys
4,Value for money.Same as the image. Good for above 6 months babies,toys
5,Worth for money????????????,fashion
5,Waste product,home
5,Average read; lead characters interesting,books
1,Almost on mrp and I received defective.,toys
1,unhappy with delivery response,books
2,shit product,mobile
4,I ordered this product twice and both time it was good and at stealing price. Go for it.,toys
3,Value for money. Good product in this price but could have better. There is no lock on top so keep falling down all rings when it tilted.,toys
4,Really learning helper,toys
1,Don't buy from their its Heating badly,mobile
4,1. Very good product  the smiley on top does not have sharp edges.2. Child friendly3. Easy to clean.4. Light weight and child can hold product easily (7 months n above)Over all happy with the product.,toys
2,not safe for 6 years old babies,fashion
3,Plastic used is of superior quality. Bright colours. My baby loves it.,toys
4,Product was good.. Price is high,toys
1,Very boring,books
5,I received this item in time and good packing... thanks to amazon. but it is defective and not working. i am very expected and waiting for this item.... its make very upset. before packing please check the quality to avoid unnecessary return please.,home
3,Good product.. Very light  colours are bright..,toys
2,Poor quality hollow plastic rings,toys
2,I can applause Amazon prime free delivery and product is not bad and quality of material still need to be improved on the standing stickThanks,toys
